type,title,director,cast,country,date_added,year_added,release_year,rating,duration,listed_in
Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,"Malcolm X, Muhammad Ali",Unknown,2021-09-09,2021.0,2021,PG-13,96 min,"Documentaries, Sports Movies"
TV Show,Mighty Raju,Not Specified,"Julie Tejwani, Sabina Malik, Jigna Bhardwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Rajesh Kava",Unknown,2021-09-09,2021.0,2017,TV-Y7,4 Seasons,Kids' TV
Movie,Paradise Hills,Alice Waddington,"Emma Roberts, Danielle Macdonald, Awkwafina, Eiza González, Milla Jovovich, Jeremy Irvine, Arnaud Valois, Daniel Horvath","Spain, United States",2021-09-09,2021.0,2019,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers"
Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",,France,2021-09-09,2021.0,2021,TV-14,92 min,"Documentaries, International Movies"
TV Show,Into the Night,Not Specified,"Pauline Etienne, Laurent Capelluto, Stefano Cassetti, Mehmet Kurtuluş, Babetida Sadjo, Jan Bijvoet, Ksawery Szlenkier, Vincent Londez, Regina Bikkinina, Alba Gaïa Kraghede Bellugi, Nabil Mallat",Belgium,2021-09-08,2021.0,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries"
Movie,JJ+E,Alexis Almström,"Elsa Öhrn, Mustapha Aarab, Jonay Pineda Skallak, Magnus Krepper, Loreen, Albin Grenholm, Simon Mezher, Elsa Bergström Terent, Josef Kadim, Yohannes Frezgi",Unknown,2021-09-08,2021.0,2021,TV-MA,91 min,"Dramas, International Movies, Romantic Movies"
Movie,Show Dogs,Raja Gosnell,"Will Arnett, Ludacris, Natasha Lyonne, Stanley Tucci, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Alan Cumming, Andy Beckwith, Delia Sheppard, Kerry Shale","United Kingdom, United States",2021-09-08,2021.0,2018,PG,90 min,"Children & Family Movies, Comedies"
TV Show,The Circle,Not Specified,Michelle Buteau,"United States, United Kingdom",2021-09-08,2021.0,2021,TV-MA,3 Seasons,Reality TV
Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,"Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant",United States,2021-09-07,2021.0,2018,TV-MA,97 min,"Documentaries, Music & Musicals"
TV Show,Kid Cosmic,Not Specified,"Jack Fisher, Tom Kenny, Amanda C. Miller, Kim Yarbrough, Keith Ferguson, Grey Griffin, Lily Rose Silver",United States,2021-09-07,2021.0,2021,TV-Y7,2 Seasons,"Kids' TV, TV Comedies, TV Sci-Fi & Fantasy"
TV Show,Octonauts: Above & Beyond,Not Specified,"Antonio Aakeel, Chipo Chung, Simon Foster, Teresa Gallagher, Simon Greenall, Kate Harbour, Paul Panting, Rob Rackstraw, William Vanderpuye, Helen Walsh, Keith Wickham, Andres Williams, Jo Wyatt",United Kingdom,2021-09-07,2021.0,2021,TV-Y,1 Season,"British TV Shows, Kids' TV"
TV Show,On the Verge,Not Specified,"Julie Delpy, Elisabeth Shue, Sarah Jones, Alexia Landeau, Mathieu Demy, Troy Garity, Timm Sharp, Giovanni Ribisi","France, United States",2021-09-07,2021.0,2021,TV-MA,1 Season,"TV Comedies, TV Dramas"
TV Show,Tobot Galaxy Detectives,Not Specified,"Austin Abell, Travis Turner, Cole Howard, Anna Cummer, Jesse Inocalla, Brian Dobson, Michael Adamthwaite, Joseph Girgis, Caitlyn Bairstow",Unknown,2021-09-07,2021.0,2019,TV-Y7,2 Seasons,Kids' TV
Movie,Untold: Breaking Point,"Chapman Way, Maclain Way",,United States,2021-09-07,2021.0,2021,TV-MA,80 min,"Documentaries, Sports Movies"
TV Show,Countdown: Inspiration4 Mission to Space,Jason Hehir,,Unknown,2021-09-06,2021.0,2021,TV-14,1 Season,"Docuseries, Science & Nature TV"
