type,title,director,cast,country,date_added,year_added,release_year,rating,duration,listed_in
Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore","Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim",Unknown,2021-09-21,2021.0,2021,TV-Y,61 min,Children & Family Movies
Movie,Jeans,S. Shankar,"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar",India,2021-09-21,2021.0,1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies"
TV Show,Love on the Spectrum,Not Specified,Brooke Satchwell,Australia,2021-09-21,2021.0,2021,TV-14,2 Seasons,"Docuseries, International TV Shows, Reality TV"
Movie,Minsara Kanavu,Rajiv Menon,"Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad",Unknown,2021-09-21,2021.0,1997,TV-PG,147 min,"Comedies, International Movies, Music & Musicals"
Movie,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",United States,2021-09-20,2021.0,2010,PG-13,103 min,Comedies
Movie,Dark Skies,Scott Stewart,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",United States,2021-09-19,2021.0,2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy"
Movie,Paranoia,Robert Luketic,"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan","United States, India, France",2021-09-19,2021.0,2013,PG-13,106 min,Thrillers
Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary","Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh",Unknown,2021-09-17,2021.0,2021,TV-14,111 min,"Dramas, Independent Movies, International Movies"
TV Show,Chicago Party Aunt,Not Specified,"Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske",Unknown,2021-09-17,2021.0,2021,TV-MA,1 Season,TV Comedies
TV Show,Sex Education,Not Specified,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie",United Kingdom,2021-09-17,2021.0,2020,TV-MA,3 Seasons,"British TV Shows, International TV Shows, TV Comedies"
